,Date,Open,High,Low,Close,Volume,OpenInt
0,1962-01-02,0.6277,0.6362,0.6201,0.6201,2575579,0
1,1962-01-03,0.6201,0.6201,0.6122,0.6201,1764749,0
2,1962-01-04,0.6201,0.6201,0.6037,0.6122,2194010,0
3,1962-01-05,0.6122,0.6122,0.5798,0.5957,3255244,0
4,1962-01-08,0.5957,0.5957,0.5716,0.5957,3696430,0
5,1962-01-09,0.5957,0.6037,0.5878,0.5957,2778285,0
6,1962-01-10,0.5957,0.6037,0.5957,0.5957,2337096,0
7,1962-01-11,0.5957,0.5957,0.5878,0.5957,1943605,0
8,1962-01-12,0.5957,0.6037,0.5878,0.5878,2015151,0
9,1962-01-15,0.5957,0.5957,0.5957,0.5957,2527879,0
10,1962-01-16,0.5957,0.6037,0.5957,0.6037,1657434,0
11,1962-01-17,0.6037,0.6037,0.5878,0.5878,2551729,0
12,1962-01-18,0.5878,0.5957,0.5878,0.5957,1764749,0
13,1962-01-19,0.5957,0.6037,0.5957,0.6037,1585893,0
14,1962-01-22,0.6037,0.6122,0.6037,0.6037,1693206,0
15,1962-01-23,0.6037,0.6037,0.5878,0.5878,2718664,0
16,1962-01-24,0.5878,0.6037,0.5878,0.6037,1907836,0
17,1962-01-25,0.6037,0.6037,0.5957,0.5957,1895910,0
18,1962-01-26,0.5957,0.5957,0.5957,0.5957,1204322,0
19,1962-01-29,0.5957,0.5957,0.5957,0.5957,1216242,0
20,1962-01-30,0.6037,0.6122,0.6037,0.6037,2122467,0
21,1962-01-31,0.6037,0.6277,0.6037,0.6277,2241705,0
22,1962-02-01,0.6277,0.6277,0.6122,0.6201,3064461,0
23,1962-02-02,0.6201,0.6201,0.6201,0.6201,1764749,0
24,1962-02-05,0.6201,0.6201,0.6122,0.6122,1681280,0
25,1962-02-06,0.6122,0.6201,0.6122,0.6201,1240089,0
26,1962-02-07,0.6201,0.6277,0.6201,0.6277,2015151,0
27,1962-02-08,0.6277,0.6277,0.6201,0.6277,2098620,0
28,1962-02-09,0.6277,0.6277,0.6201,0.6277,1800521,0
29,1962-02-12,0.6277,0.6277,0.6201,0.6277,977764,0
30,1962-02-13,0.6277,0.6362,0.6277,0.6362,1442802,0
